标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接
整租·骋望珺玺 3室2厅 南,1800,江南区-五一路-骋望珺玺,3室2厅2卫,84.00,南,https://nn.zu.ke.com/zufang/NN2061010309283315712.html
整租·中海哈罗学府 3室2厅 南,1800,邕宁区-龙岗-中海哈罗学府,3室2厅2卫,97.00,南,https://nn.zu.ke.com/zufang/NN2042458285893746688.html
整租·广西壮族自治区疾病预防控制中心宿舍区 4室2厅 南,2200,青秀区-星湖-广西壮族自治区疾病预防控制中心宿舍区,4室2厅2卫,123.50,南,https://nn.zu.ke.com/zufang/NN2002335869402349568.html
整租·龙滩苑 3室2厅 南,4500,青秀区-东盟商务区-龙滩苑,3室2厅2卫,141.00,南,https://nn.zu.ke.com/zufang/NN2036798560841760768.html
整租·君华•锦云 4室2厅 北,2500,邕宁区-龙岗-君华•锦云,4室2厅2卫,125.00,北,https://nn.zu.ke.com/zufang/NN2041844326283083776.html
整租·大唐盛世观湖 4室2厅 南,2000,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,126.00,南,https://nn.zu.ke.com/zufang/NN2004846303204343808.html
整租·永凯春晖花园西C区 3室2厅 南,2400,青秀区-凤岭北-永凯春晖花园西C区,3室2厅2卫,110.00,南,https://nn.zu.ke.com/zufang/NN2049404082161975296.html
整租·五象澜庭府锦苑 3室2厅 东南/南,2200,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.00,N/A,https://nn.zu.ke.com/zufang/NN2035310786246606848.html
整租·恒悦居 3室2厅 南/北,1700,青秀区-仙葫-恒悦居,3室2厅2卫,95.00,N/A,https://nn.zu.ke.com/zufang/NN2018931266379841536.html
整租·万科紫台 4室3厅 南,10500,良庆区-玉洞-万科紫台,4室3厅3卫,175.00,南,https://nn.zu.ke.com/zufang/NN2050158496984334336.html
整租·宏桂东盛 3室2厅 南,2300,青秀区-凤岭北-宏桂东盛,3室2厅2卫,100.00,南,https://nn.zu.ke.com/zufang/NN1979508646932905984.html
整租·龙光世纪中心 3室1厅 南,8690,青秀区-东盟商务区-龙光世纪中心,3室1厅1卫,133.70,南,https://nn.zu.ke.com/zufang/NN2056689744808509440.html
整租·南宁市南湖公务员住宅小区 4室2厅 南,3500,青秀区-青秀万达-南宁市南湖公务员住宅小区,4室2厅2卫,135.00,南,https://nn.zu.ke.com/zufang/NN2051552580588273664.html
整租·东长小区 3室2厅 东南,2600,青秀区-东葛路-东长小区,3室2厅2卫,140.00,东南,https://nn.zu.ke.com/zufang/NN1976491680643153920.html
整租·君华•锦云 4室2厅 东南,1600,邕宁区-龙岗-君华•锦云,4室2厅2卫,99.00,东南,https://nn.zu.ke.com/zufang/NN2054132946746474496.html
整租·广西区糖业供销公司宿舍 3室2厅 东南,2650,青秀区-金湖-广西区糖业供销公司宿舍,3室2厅2卫,113.75,东南,https://nn.zu.ke.com/zufang/NN1949691746606645248.html
整租·万科金域中央一期 3室2厅 南,2400,良庆区-玉洞-万科金域中央一期,3室2厅2卫,108.35,南,https://nn.zu.ke.com/zufang/NN2056980853338144768.html
整租·恒大悦龙台 3室2厅 南,1700,邕宁区-龙岗-恒大悦龙台,3室2厅1卫,92.00,南,https://nn.zu.ke.com/zufang/NN1915354844294545408.html
整租·和美春天 4室2厅 南,2800,青秀区-琅东-和美春天,4室2厅2卫,143.39,南,https://nn.zu.ke.com/zufang/NN2057761546292953088.html
整租·万科公望 4室2厅 南,2500,邕宁区-龙岗-万科公望,4室2厅2卫,121.00,南,https://nn.zu.ke.com/zufang/NN2019260883909214208.html
整租·龙光世纪中心 4室1厅 南,13800,青秀区-东盟商务区-龙光世纪中心,4室1厅0卫,195.00,南,https://nn.zu.ke.com/zufang/NN2036067041575698432.html
整租·印象·愉景湾 4室2厅 东南,1200,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,110.00,东南,https://nn.zu.ke.com/zufang/NN1960547204724686848.html
整租·万科金域中央一期 3室2厅 南,2400,良庆区-玉洞-万科金域中央一期,3室2厅2卫,108.35,南,https://nn.zu.ke.com/zufang/NN2056980853338144768.html
整租·盘龙居小区 3室2厅 南/北,2400,青秀区-凤岭北-盘龙居小区,3室2厅2卫,134.00,N/A,https://nn.zu.ke.com/zufang/NN2052717367993040896.html
整租·凤岭名园 4室2厅 北,3500,青秀区-凤岭北-凤岭名园,4室2厅2卫,148.00,北,https://nn.zu.ke.com/zufang/NN2043577324833603584.html
整租·霖峰壹號2组团 3室2厅 东南,3000,青秀区-凤岭北-霖峰壹號2组团,3室2厅2卫,89.00,东南,https://nn.zu.ke.com/zufang/NN2046826424920178688.html
整租·五象澜庭府锦苑 3室2厅 南/北,1900,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.00,N/A,https://nn.zu.ke.com/zufang/NN2030230143565299712.html
