标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接,驾车距离,驾车时间,公交时间,步行距离,步行时间,通勤时间(分钟),价格得分,通勤得分,面积得分,性价比得分,纬度,经度
整租·骋望珺玺 3室2厅 南,1800,江南区-五一路-骋望珺玺,3室2厅2卫,84.0,南,https://nn.zu.ke.com/zufang/NN2061010309283315712.html,9.7公里,21分钟,50分钟,8.4公里,112分钟,50.0,0.9844694773461443,0.5851063829787234,0.026277654332914693,63.3,22.823072,108.256689
整租·中海哈罗学府 3室2厅 南,1800,邕宁区-龙岗-中海哈罗学府,3室2厅2卫,97.0,南,https://nn.zu.ke.com/zufang/NN2042458285893746688.html,19.9公里,44分钟,76分钟,19.4公里,258分钟,76.0,0.9844694773461443,0.30851063829787234,0.031301323543618975,52.3,22.765067,108.470536
整租·广西壮族自治区疾病预防控制中心宿舍区 4室2厅 南,2200,青秀区-星湖-广西壮族自治区疾病预防控制中心宿舍区,4室2厅2卫,123.5,南,https://nn.zu.ke.com/zufang/NN2002335869402349568.html,3.6公里,12分钟,34分钟,3.0公里,40分钟,34.0,0.9803280046384494,0.7553191489361702,0.041541880011593084,70.3,22.810124,108.365121
整租·龙滩苑 3室2厅 南,4500,青秀区-东盟商务区-龙滩苑,3室2厅2卫,141.0,南,https://nn.zu.ke.com/zufang/NN2036798560841760768.html,8.1公里,33分钟,24分钟,7.6公里,102分钟,24.0,0.956514536569204,0.8617021276595744,0.048304511641387306,73.7,22.811363,108.39058
整租·君华•锦云 4室2厅 北,2500,邕宁区-龙岗-君华•锦云,4室2厅2卫,125.0,北,https://nn.zu.ke.com/zufang/NN2041844326283083776.html,18.3公里,47分钟,67分钟,18.1公里,241分钟,67.0,0.9772219001076783,0.40425531914893614,0.04212153415128973,56.1,22.782457,108.478605
整租·大唐盛世观湖 4室2厅 南,2000,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,126.0,南,https://nn.zu.ke.com/zufang/NN2004846303204343808.html,20.4公里,44分钟,87分钟,19.8公里,264分钟,87.0,0.9823987409922968,0.19148936170212766,0.04250797024442083,47.8,22.768962,108.477384
整租·永凯春晖花园西C区 3室2厅 南,2400,青秀区-凤岭北-永凯春晖花园西C区,3室2厅2卫,110.0,南,https://nn.zu.ke.com/zufang/NN2049404082161975296.html,8.1公里,35分钟,30分钟,8.0公里,107分钟,30.0,0.978257268284602,0.7978723404255319,0.03632499275432326,71.8,22.817687,108.389773
整租·五象澜庭府锦苑 3室2厅 东南/南,2200,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.0,,https://nn.zu.ke.com/zufang/NN2035310786246606848.html,15.3公里,43分钟,46分钟,14.6公里,194分钟,46.0,0.9803280046384494,0.6276595744680851,0.03168775963675007,65.0,22.730975,108.397977
整租·恒悦居 3室2厅 南/北,1700,青秀区-仙葫-恒悦居,3室2厅2卫,95.0,,https://nn.zu.ke.com/zufang/NN2018931266379841536.html,21.1公里,49分钟,60分钟,14.6公里,195分钟,60.0,0.985504845523068,0.4787234042553192,0.030528451357356778,59.2,22.765457,108.495767
整租·万科紫台 4室3厅 南,10500,良庆区-玉洞-万科紫台,4室3厅3卫,175.0,南,https://nn.zu.ke.com/zufang/NN2050158496984334336.html,11.7公里,40分钟,45分钟,10.8公里,145分钟,45.0,0.8943924459537812,0.6382978723404256,0.06144333880784465,62.5,22.751814,108.377239
整租·宏桂东盛 3室2厅 南,2300,青秀区-凤岭北-宏桂东盛,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN1979508646932905984.html,11.1公里,39分钟,50分钟,10.6公里,141分钟,50.0,0.9792926364615258,0.5851063829787234,0.032460631823012266,63.2,22.823452,108.413969
整租·龙光世纪中心 3室1厅 南,8690,青秀区-东盟商务区-龙光世纪中心,3室1厅1卫,133.7,南,https://nn.zu.ke.com/zufang/NN2056689744808509440.html,8.7公里,41分钟,27分钟,8.7公里,116分钟,27.0,0.9131326099561003,0.8297872340425532,0.045483528161530284,70.6,22.806844,108.398213
整租·南宁市南湖公务员住宅小区 4室2厅 南,3500,青秀区-青秀万达-南宁市南湖公务员住宅小区,4室2厅2卫,135.0,南,https://nn.zu.ke.com/zufang/NN2051552580588273664.html,5.7公里,25分钟,28分钟,5.6公里,75分钟,28.0,0.9668682183384412,0.8191489361702128,0.04598589508260072,72.4,22.824008,108.366342
整租·东长小区 3室2厅 东南,2600,青秀区-东葛路-东长小区,3室2厅2卫,140.0,东南,https://nn.zu.ke.com/zufang/NN1976491680643153920.html,4.6公里,20分钟,28分钟,4.5公里,60分钟,28.0,0.9761865319307546,0.8191489361702128,0.04791807554825621,72.8,22.830507,108.358661
