标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接,驾车距离,驾车时间,公交时间,步行距离,步行时间
整租·骋望珺玺 3室2厅 南,1800,江南区-五一路-骋望珺玺,3室2厅2卫,84.0,南,https://nn.zu.ke.com/zufang/NN2061010309283315712.html,9.7公里,21分钟,50分钟,8.4公里,112分钟
整租·中海哈罗学府 3室2厅 南,1800,邕宁区-龙岗-中海哈罗学府,3室2厅2卫,97.0,南,https://nn.zu.ke.com/zufang/NN2042458285893746688.html,19.9公里,44分钟,76分钟,19.4公里,258分钟
整租·广西壮族自治区疾病预防控制中心宿舍区 4室2厅 南,2200,青秀区-星湖-广西壮族自治区疾病预防控制中心宿舍区,4室2厅2卫,123.5,南,https://nn.zu.ke.com/zufang/NN2002335869402349568.html,3.6公里,12分钟,34分钟,3.0公里,40分钟
整租·龙滩苑 3室2厅 南,4500,青秀区-东盟商务区-龙滩苑,3室2厅2卫,141.0,南,https://nn.zu.ke.com/zufang/NN2036798560841760768.html,8.1公里,33分钟,24分钟,7.6公里,102分钟
整租·君华•锦云 4室2厅 北,2500,邕宁区-龙岗-君华•锦云,4室2厅2卫,125.0,北,https://nn.zu.ke.com/zufang/NN2041844326283083776.html,18.3公里,47分钟,67分钟,18.1公里,241分钟
整租·大唐盛世观湖 4室2厅 南,2000,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,126.0,南,https://nn.zu.ke.com/zufang/NN2004846303204343808.html,20.4公里,44分钟,87分钟,19.8公里,264分钟
整租·永凯春晖花园西C区 3室2厅 南,2400,青秀区-凤岭北-永凯春晖花园西C区,3室2厅2卫,110.0,南,https://nn.zu.ke.com/zufang/NN2049404082161975296.html,8.1公里,35分钟,30分钟,8.0公里,107分钟
整租·五象澜庭府锦苑 3室2厅 东南/南,2200,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.0,,https://nn.zu.ke.com/zufang/NN2035310786246606848.html,15.3公里,43分钟,46分钟,14.6公里,194分钟
整租·恒悦居 3室2厅 南/北,1700,青秀区-仙葫-恒悦居,3室2厅2卫,95.0,,https://nn.zu.ke.com/zufang/NN2018931266379841536.html,21.1公里,49分钟,60分钟,14.6公里,195分钟
整租·万科紫台 4室3厅 南,10500,良庆区-玉洞-万科紫台,4室3厅3卫,175.0,南,https://nn.zu.ke.com/zufang/NN2050158496984334336.html,11.7公里,40分钟,45分钟,10.8公里,145分钟
整租·宏桂东盛 3室2厅 南,2300,青秀区-凤岭北-宏桂东盛,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN1979508646932905984.html,11.1公里,39分钟,50分钟,10.6公里,141分钟
整租·龙光世纪中心 3室1厅 南,8690,青秀区-东盟商务区-龙光世纪中心,3室1厅1卫,133.7,南,https://nn.zu.ke.com/zufang/NN2056689744808509440.html,8.7公里,41分钟,27分钟,8.7公里,116分钟
整租·南宁市南湖公务员住宅小区 4室2厅 南,3500,青秀区-青秀万达-南宁市南湖公务员住宅小区,4室2厅2卫,135.0,南,https://nn.zu.ke.com/zufang/NN2051552580588273664.html,5.7公里,25分钟,28分钟,5.6公里,75分钟
整租·东长小区 3室2厅 东南,2600,青秀区-东葛路-东长小区,3室2厅2卫,140.0,东南,https://nn.zu.ke.com/zufang/NN1976491680643153920.html,4.6公里,20分钟,28分钟,4.5公里,60分钟
整租·君华•锦云 4室2厅 东南,1600,邕宁区-龙岗-君华•锦云,4室2厅2卫,99.0,东南,https://nn.zu.ke.com/zufang/NN2054132946746474496.html,18.3公里,48分钟,67分钟,18.1公里,241分钟
整租·广西区糖业供销公司宿舍 3室2厅 东南,2650,青秀区-金湖-广西区糖业供销公司宿舍,3室2厅2卫,113.75,东南,https://nn.zu.ke.com/zufang/NN1949691746606645248.html,6.0公里,31分钟,23分钟,6.2公里,83分钟
整租·万科金域中央一期 3室2厅 南,2400,良庆区-玉洞-万科金域中央一期,3室2厅2卫,108.35,南,https://nn.zu.ke.com/zufang/NN2056980853338144768.html,11.2公里,39分钟,45分钟,10.7公里,143分钟
整租·恒大悦龙台 3室2厅 南,1700,邕宁区-龙岗-恒大悦龙台,3室2厅1卫,92.0,南,https://nn.zu.ke.com/zufang/NN1915354844294545408.html,15.9公里,39分钟,73分钟,16.1公里,215分钟
整租·和美春天 4室2厅 南,2800,青秀区-琅东-和美春天,4室2厅2卫,143.39,南,https://nn.zu.ke.com/zufang/NN2057761546292953088.html,11.5公里,36分钟,42分钟,11.3公里,150分钟
整租·万科公望 4室2厅 南,2500,邕宁区-龙岗-万科公望,4室2厅2卫,121.0,南,https://nn.zu.ke.com/zufang/NN2019260883909214208.html,20.9公里,44分钟,93分钟,18.7公里,250分钟
整租·龙光世纪中心 4室1厅 南,13800,青秀区-东盟商务区-龙光世纪中心,4室1厅0卫,195.0,南,https://nn.zu.ke.com/zufang/NN2036067041575698432.html,8.7公里,41分钟,27分钟,8.7公里,116分钟
整租·印象·愉景湾 4室2厅 东南,1200,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,110.0,东南,https://nn.zu.ke.com/zufang/NN1960547204724686848.html,20.9公里,49分钟,79分钟,19.6公里,261分钟
整租·万科金域中央一期 3室2厅 南,2400,良庆区-玉洞-万科金域中央一期,3室2厅2卫,108.35,南,https://nn.zu.ke.com/zufang/NN2056980853338144768.html,11.2公里,40分钟,45分钟,10.7公里,143分钟
整租·盘龙居小区 3室2厅 南/北,2400,青秀区-凤岭北-盘龙居小区,3室2厅2卫,134.0,,https://nn.zu.ke.com/zufang/NN2052717367993040896.html,8.6公里,32分钟,46分钟,7.7公里,103分钟
整租·凤岭名园 4室2厅 北,3500,青秀区-凤岭北-凤岭名园,4室2厅2卫,148.0,北,https://nn.zu.ke.com/zufang/NN2043577324833603584.html,14.6公里,37分钟,50分钟,11.0公里,147分钟
整租·霖峰壹號2组团 3室2厅 东南,3000,青秀区-凤岭北-霖峰壹號2组团,3室2厅2卫,89.0,东南,https://nn.zu.ke.com/zufang/NN2046826424920178688.html,12.5公里,34分钟,44分钟,8.5公里,113分钟
整租·五象澜庭府锦苑 3室2厅 南/北,1900,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.0,,https://nn.zu.ke.com/zufang/NN2030230143565299712.html,15.3公里,44分钟,46分钟,14.6公里,194分钟
整租·联发·尚品 3室2厅 南,1500,青秀区-仙葫-联发 - 尚品,3室2厅1卫,98.0,南,https://nn.zu.ke.com/zufang/NN2048417946761428992.html,14.4公里,44分钟,60分钟,14.1公里,188分钟
整租·龙光·君御华府 2室1厅 南,3500,青秀区-凤岭北-龙光 - 君御华府,2室1厅1卫,42.0,南,https://nn.zu.ke.com/zufang/NN2049358450688786432.html,7.7公里,33分钟,38分钟,7.1公里,95分钟
整租·港保苑 2室2厅 西,1800,良庆区-五象核心区-港保苑,2室2厅1卫,91.0,西,https://nn.zu.ke.com/zufang/NN2046231629654917120.html,12.4公里,37分钟,44分钟,11.6公里,155分钟
整租·金科博翠山 3室2厅 南,2000,良庆区-玉洞-金科博翠山,3室2厅2卫,98.65,南,https://nn.zu.ke.com/zufang/NN1930217976896684032.html,13.4公里,39分钟,48分钟,13.0公里,174分钟
整租·大唐盛世观湖 4室2厅 南,1700,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,112.0,南,https://nn.zu.ke.com/zufang/NN1897554114313715712.html,20.4公里,45分钟,87分钟,19.8公里,264分钟
整租·华润二十四城 3室2厅 南,1900,良庆区-五象湖-华润二十四城,3室2厅2卫,93.0,南,https://nn.zu.ke.com/zufang/NN2045492100199350272.html,15.3公里,44分钟,45分钟,14.4公里,192分钟
整租·华龙苑小区 3室2厅 南,2500,青秀区-青秀万达-华龙苑小区,3室2厅2卫,120.0,南,https://nn.zu.ke.com/zufang/NN1932644620349472768.html,6.4公里,26分钟,38分钟,5.3公里,71分钟
整租·荣和大地二组团 6室0厅 东南,2400,青秀区-凤岭北-荣和大地二组团,6室0厅2卫,88.0,东南,https://nn.zu.ke.com/zufang/NN2002299990029893632.html,10.8公里,34分钟,48分钟,9.5公里,127分钟
整租·华龙苑小区 3室2厅 南,2500,青秀区-青秀万达-华龙苑小区,3室2厅2卫,120.0,南,https://nn.zu.ke.com/zufang/NN1932644620349472768.html,6.4公里,26分钟,38分钟,5.3公里,71分钟
整租·金科博翠山 3室2厅 南,1700,良庆区-玉洞-金科博翠山,3室2厅2卫,98.65,南,https://nn.zu.ke.com/zufang/NN1988151077739954176.html,13.4公里,39分钟,48分钟,13.0公里,174分钟
整租·中房翡翠园二期 3室2厅 南,2500,青秀区-琅东-中房翡翠园二期,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN2052983843085877248.html,10.5公里,34分钟,35分钟,10.4公里,138分钟
整租·虹桥新城 1室1厅 南,1100,兴宁区-兴宁东-虹桥新城,1室1厅1卫,43.0,南,https://nn.zu.ke.com/zufang/NN2056666691865149440.html,13.4公里,36分钟,45分钟,9.3公里,124分钟
整租·印象·愉景湾 4室2厅 南,1500,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,109.69,南,https://nn.zu.ke.com/zufang/NN2035558161670209536.html,20.9公里,49分钟,79分钟,19.6公里,261分钟
整租·威宁青运村 3室2厅 东南,2400,良庆区-五象核心区-威宁青运村,3室2厅2卫,103.0,东南,https://nn.zu.ke.com/zufang/NN2054081078318071808.html,12.3公里,41分钟,51分钟,12.0公里,161分钟
整租·保利·童心缘 1室1厅 南,2000,青秀区-凤岭北-保利 - 童心缘,1室1厅1卫,50.95,南,https://nn.zu.ke.com/zufang/NN1955866759810514944.html,13.9公里,37分钟,54分钟,10.3公里,137分钟
整租·星湖路北二里8号小区 4室2厅 南/北,3500,青秀区-星湖-星湖路北二里8号小区,4室2厅2卫,135.0,,https://nn.zu.ke.com/zufang/NN1980146080204980224.html,3.8公里,17分钟,18分钟,2.8公里,37分钟
整租·恒大绿洲3期 2室2厅 南,1600,良庆区-大沙田-恒大绿洲3期,2室2厅1卫,82.4,南,https://nn.zu.ke.com/zufang/NN2059941919760318464.html,8.8公里,30分钟,42分钟,8.3公里,110分钟
整租·建发五象印月 4室2厅 南/北,3500,良庆区-五象湖-建发五象印月,4室2厅2卫,133.0,,https://nn.zu.ke.com/zufang/NN1933493870037827584.html,14.4公里,43分钟,52分钟,12.2公里,162分钟
整租·城市碧园 4室2厅 东南,2500,西乡塘区-西大-城市碧园,4室2厅2卫,124.0,东南,https://nn.zu.ke.com/zufang/NN2052328297894772736.html,7.9公里,25分钟,18分钟,4.7公里,62分钟
整租·云星钱隆首府E地块 3室2厅 南,3000,良庆区-五象核心区-云星钱隆首府E地块,3室2厅2卫,115.0,南,https://nn.zu.ke.com/zufang/NN1979162645588082688.html,9.8公里,37分钟,40分钟,9.3公里,124分钟
整租·万科星都荟三期 4室2厅 南/北,1300,良庆区-五象湖-万科星都荟三期,4室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1979816278168174592.html,17.0公里,45分钟,72分钟,14.9公里,199分钟
整租·保利明玥江山 3室2厅 南,1700,良庆区-五象文旅-保利明玥江山,3室2厅2卫,97.6,南,https://nn.zu.ke.com/zufang/NN2026346193742725120.html,14.9公里,45分钟,54分钟,14.5公里,193分钟
整租·融创九棠府二期 4室2厅 南,1800,良庆区-五象湖-融创九棠府二期,4室2厅2卫,132.0,南,https://nn.zu.ke.com/zufang/NN1582947961820676096.html,15.1公里,44分钟,62分钟,14.2公里,189分钟
整租·荣和·千千树 3室1厅 南/北,2600,青秀区-凤岭北-荣和 - 千千树,3室1厅2卫,88.0,,https://nn.zu.ke.com/zufang/NN2020845710315880448.html,12.4公里,34分钟,48分钟,8.7公里,116分钟
整租·宝能五象湖一号 3室2厅 南,1700,良庆区-五象湖-宝能五象湖一号,3室2厅2卫,84.0,南,https://nn.zu.ke.com/zufang/NN2051600155848736768.html,13.2公里,42分钟,49分钟,11.8公里,158分钟
整租·融创九棠府二期 4室2厅 南,1800,良庆区-五象湖-融创九棠府二期,4室2厅2卫,132.0,南,https://nn.zu.ke.com/zufang/NN1582947961820676096.html,15.1公里,44分钟,62分钟,14.2公里,189分钟
整租·云星钱隆首府E地块 3室2厅 南,3000,良庆区-五象核心区-云星钱隆首府E地块,3室2厅2卫,115.0,南,https://nn.zu.ke.com/zufang/NN1979162645588082688.html,9.8公里,37分钟,40分钟,9.3公里,124分钟
整租·万科星都荟三期 4室2厅 南/北,1300,良庆区-五象湖-万科星都荟三期,4室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1979816278168174592.html,17.0公里,45分钟,72分钟,14.9公里,199分钟
整租·阳光100上东国际 1室0厅 南,1900,青秀区-琅东-阳光100上东国际,1室0厅0卫,69.0,南,https://nn.zu.ke.com/zufang/NN2021089339257126912.html,9.9公里,33分钟,29分钟,9.4公里,126分钟
整租·保利明玥江山 3室2厅 南,1700,良庆区-五象文旅-保利明玥江山,3室2厅2卫,97.6,南,https://nn.zu.ke.com/zufang/NN2026346193742725120.html,14.9公里,45分钟,54分钟,14.5公里,193分钟
整租·柏涛湾小区 3室2厅 复式 南,1600,西乡塘区-北湖南-柏涛湾小区,3室2厅1卫,120.0,南,https://nn.zu.ke.com/zufang/NN2022913617472520192.html,5.1公里,25分钟,34分钟,4.7公里,62分钟
整租·驰程天拓 2室1厅 西,1300,西乡塘区-石埠-驰程天拓,2室1厅1卫,64.0,西,https://nn.zu.ke.com/zufang/NN2053777662584815616.html,16.7公里,34分钟,30分钟,14.0公里,186分钟
整租·空军集资楼小区 4室2厅 南/北,2200,青秀区-星湖-空军集资楼小区,4室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1803646253649625088.html,4.1公里,17分钟,25分钟,2.8公里,37分钟
整租·云星时代广场 1室1厅 东南,1900,良庆区-五象核心区-云星时代广场,1室1厅1卫,40.0,东南,https://nn.zu.ke.com/zufang/NN2032418927987916800.html,11.3公里,40分钟,44分钟,10.0公里,134分钟
整租·中房翡翠园二期 3室2厅 南,2700,青秀区-琅东-中房翡翠园二期,3室2厅2卫,129.0,南,https://nn.zu.ke.com/zufang/NN2055200104553381888.html,10.5公里,34分钟,35分钟,10.4公里,138分钟
整租·金科博翠山 3室2厅 南/北,1800,良庆区-玉洞-金科博翠山,3室2厅2卫,100.0,,https://nn.zu.ke.com/zufang/NN1955288758769156096.html,13.4公里,39分钟,48分钟,13.0公里,174分钟
整租·合景天汇广场 4室2厅 南/北,1800,良庆区-五象湖-合景天汇广场,4室2厅2卫,113.0,,https://nn.zu.ke.com/zufang/NN1964978114635235328.html,15.0公里,44分钟,40分钟,13.8公里,185分钟
整租·金都新巢时代 1室1厅 南,1300,西乡塘区-朝阳-金都新巢时代,1室1厅1卫,50.0,南,https://nn.zu.ke.com/zufang/NN2045806445080870912.html,2.3公里,11分钟,28分钟,2.0公里,26分钟
整租·平安家园 3室2厅 南/北,2300,青秀区-凤岭北-平安家园,3室2厅2卫,107.0,,https://nn.zu.ke.com/zufang/NN2014595757130121216.html,7.5公里,32分钟,31分钟,7.6公里,102分钟
整租·中铁江湾山语城 4室2厅 南,1500,邕宁区-龙岗-中铁江湾山语城,4室2厅2卫,90.0,南,https://nn.zu.ke.com/zufang/NN2023688325520424960.html,18.8公里,40分钟,76分钟,17.3公里,231分钟
整租·保利领秀前城领秀府 4室2厅 南,2500,青秀区-凤岭南-保利领秀前城领秀府,4室2厅2卫,92.0,南,https://nn.zu.ke.com/zufang/NN2022685900323946496.html,14.7公里,44分钟,57分钟,13.0公里,173分钟
整租·云星城 1室1厅 南,2000,青秀区-星湖-云星城,1室1厅1卫,43.43,南,https://nn.zu.ke.com/zufang/NN2043978922890100736.html,2.1公里,10分钟,11分钟,2.0公里,27分钟
整租·华银阁 2室1厅 南,3500,青秀区-东葛路-华银阁,2室1厅1卫,133.0,南,https://nn.zu.ke.com/zufang/NN1604434017053048832.html,2.0公里,7分钟,12分钟,1.6公里,21分钟
整租·嘉和自由空间 1室0厅 南,1400,青秀区-东葛路-嘉和自由空间,1室0厅1卫,48.0,南,https://nn.zu.ke.com/zufang/NN1615927041109000192.html,2.3公里,9分钟,18分钟,1.5公里,20分钟
整租·广西民族宫 2室1厅 东,6800,青秀区-东葛路-广西民族宫,2室1厅0卫,168.7,东,https://nn.zu.ke.com/zufang/NN1610159254721789952.html,1.7公里,7分钟,11分钟,1.6公里,22分钟
整租·亚航财富中心 1室1厅 北,3200,青秀区-金湖-亚航财富中心,1室1厅1卫,67.42,北,https://nn.zu.ke.com/zufang/NN1596382455080681472.html,5.3公里,25分钟,22分钟,5.4公里,72分钟
整租·印象·愉景湾 3室2厅 南,800,良庆区-五象湖-印象 - 愉景湾,3室2厅1卫,85.0,南,https://nn.zu.ke.com/zufang/NN1592892476077637632.html,20.9公里,48分钟,79分钟,19.6公里,261分钟
整租·亚航财富中心 1室1厅 北,2900,青秀区-金湖-亚航财富中心,1室1厅1卫,58.81,北,https://nn.zu.ke.com/zufang/NN1596381119782060032.html,5.3公里,25分钟,22分钟,5.4公里,72分钟
整租·农行宿舍 3室2厅 南,2000,青秀区-星湖-农行宿舍,3室2厅1卫,120.0,南,https://nn.zu.ke.com/zufang/NN2868662225323687936.html,4.1公里,17分钟,25分钟,2.8公里,37分钟
整租·利海亚洲国际 1室1厅 南,1800,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,54.0,南,https://nn.zu.ke.com/zufang/NN1570273900338610176.html,8.7公里,44分钟,31分钟,8.6公里,114分钟
整租·大唐盛世观湖 4室2厅 南/北,1500,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,117.0,,https://nn.zu.ke.com/zufang/NN1569271924968652800.html,20.4公里,45分钟,87分钟,19.8公里,264分钟
整租·广西民族宫 1室1厅 东南,1800,青秀区-东葛路-广西民族宫,1室1厅0卫,45.0,东南,https://nn.zu.ke.com/zufang/NN2873997451927764992.html,1.7公里,7分钟,11分钟,1.6公里,22分钟
整租·融创九棠府二期 4室2厅 南,2000,良庆区-五象湖-融创九棠府二期,4室2厅2卫,131.0,南,https://nn.zu.ke.com/zufang/NN2900020447724969984.html,15.1公里,44分钟,62分钟,14.2公里,189分钟
整租·广西路桥总公司一分公司五一路生活区 3室1厅 南,1100,江南区-五一路-广西路桥总公司一分公司五一路生活区,3室1厅1卫,75.0,南,https://nn.zu.ke.com/zufang/NN2891370395552710656.html,7.5公里,19分钟,30分钟,6.0公里,80分钟
整租·中铁交通天地明珠 4室2厅 南,2300,邕宁区-龙岗-中铁交通天地明珠,4室2厅2卫,144.0,南,https://nn.zu.ke.com/zufang/NN2618631424072761344.html,18.3公里,46分钟,67分钟,18.1公里,241分钟
整租·荣和山水美地4组团微笑湾 3室2厅 南/北,2400,青秀区-凤岭北-荣和山水美地4组团微笑湾,3室2厅2卫,127.0,,https://nn.zu.ke.com/zufang/NN2644699932195561472.html,9.3公里,33分钟,37分钟,9.3公里,124分钟
整租·星湖路南一里14 3室2厅 南/北,1800,青秀区-星湖-星湖路南一里14,3室2厅1卫,77.0,,https://nn.zu.ke.com/zufang/NN2695693025601912832.html,2.0公里,10分钟,16分钟,1.5公里,20分钟
整租·盛邦珑湖 6室2厅 南,2500,良庆区-玉洞-盛邦珑湖,6室2厅2卫,180.0,南,https://nn.zu.ke.com/zufang/NN2705133084160311296.html,12.7公里,37分钟,63分钟,12.0公里,160分钟
整租·万达茂·御江国际 3室2厅 南,2800,邕宁区-五象文旅-万达茂 - 御江国际,3室2厅2卫,120.0,南,https://nn.zu.ke.com/zufang/NN2696902522223722496.html,15.2公里,35分钟,89分钟,15.2公里,203分钟
整租·长湖景苑 5室2厅 东南/南,4000,青秀区-青秀万达-长湖景苑,5室2厅2卫,178.0,,https://nn.zu.ke.com/zufang/NN2818944284454567936.html,5.0公里,23分钟,33分钟,4.9公里,66分钟
整租·中房翡翠园二期 4室2厅 南,7800,青秀区-琅东-中房翡翠园二期,4室2厅2卫,128.0,南,https://nn.zu.ke.com/zufang/NN2823916088197120000.html,10.5公里,34分钟,35分钟,10.4公里,138分钟
整租·凯丰大厦 1室0厅 东,1300,青秀区-东葛路-凯丰大厦,1室0厅1卫,45.0,东,https://nn.zu.ke.com/zufang/NN2778277091232727040.html,2.6公里,13分钟,24分钟,2.2公里,30分钟
整租·香格里拉花园 5室2厅 东南,5200,青秀区-凤岭北-香格里拉花园,5室2厅3卫,234.0,东南,https://nn.zu.ke.com/zufang/NN2767203103861653504.html,7.5公里,32分钟,38分钟,7.0公里,94分钟
整租·外滩新城 5室2厅 南/北,13000,青秀区-星湖-外滩新城,5室2厅3卫,500.0,,https://nn.zu.ke.com/zufang/NN2839938722424954880.html,1.4公里,7分钟,18分钟,1.4公里,18分钟
整租·融创九棠府一期 4室2厅 东南,2000,良庆区-五象湖-融创九棠府一期,4室2厅2卫,125.0,东南,https://nn.zu.ke.com/zufang/NN1667513442883338240.html,14.4公里,41分钟,58分钟,14.1公里,188分钟
整租·汇金苑 2室1厅 东南,2500,青秀区-金湖-汇金苑,2室1厅1卫,95.0,东南,https://nn.zu.ke.com/zufang/NN1669634666027548672.html,5.2公里,23分钟,22分钟,5.1公里,67分钟
合租·江悦蓝湾 4居室 东南卧,800,良庆区-五象核心区-江悦蓝湾,4室2厅2卫,28.0,东南,https://nn.zu.ke.com/zufang/NN1665997687725490176.html,9.3公里,32分钟,40分钟,9.4公里,125分钟
整租·天誉城 3室2厅 南,1800,良庆区-五象文旅-天誉城,3室2厅2卫,60.0,南,https://nn.zu.ke.com/zufang/NN2060275570591137792.html,15.6公里,44分钟,50分钟,14.9公里,198分钟
整租·阳光绿城第六组团 3室2厅 东/南,1700,兴宁区-东沟岭-阳光绿城第六组团,3室2厅1卫,85.0,,https://nn.zu.ke.com/zufang/NN2060364873178546176.html,6.1公里,23分钟,39分钟,5.4公里,72分钟
整租·中海半山壹号 5室2厅 南,3900,青秀区-仙葫-中海半山壹号,5室2厅3卫,213.0,南,https://nn.zu.ke.com/zufang/NN2046100616408727552.html,20.6公里,49分钟,85分钟,19.0公里,254分钟
整租·盘龙居小区 4室2厅 东南,2500,青秀区-凤岭北-盘龙居小区,4室2厅2卫,143.0,东南,https://nn.zu.ke.com/zufang/NN2051314888982134784.html,8.6公里,31分钟,46分钟,7.7公里,103分钟
整租·东长小区 4室2厅 南/北,2600,青秀区-东葛路-东长小区,4室2厅2卫,150.0,,https://nn.zu.ke.com/zufang/NN1917421422951530496.html,4.6公里,20分钟,28分钟,4.5公里,60分钟
整租·水泥厂宿舍 3室2厅 南/北,2500,青秀区-青秀万达-水泥厂宿舍,3室2厅2卫,113.0,,https://nn.zu.ke.com/zufang/NN1963496740661231616.html,21.3公里,48分钟,69分钟,20.0公里,266分钟
整租·水泥厂宿舍 4室2厅 南/北,2500,青秀区-青秀万达-水泥厂宿舍,4室2厅2卫,110.0,,https://nn.zu.ke.com/zufang/NN1999688661016248320.html,21.3公里,48分钟,69分钟,20.0公里,266分钟
整租·金科博翠山 3室1厅 南,1500,良庆区-玉洞-金科博翠山,3室1厅2卫,97.0,南,https://nn.zu.ke.com/zufang/NN2060604177838505984.html,13.4公里,38分钟,48分钟,13.0公里,174分钟
整租·南宁中华路高层职工住宅综合楼 3室2厅 东南,2300,兴宁区-西大-南宁中华路高层职工住宅综合楼,3室2厅2卫,124.0,东南,https://nn.zu.ke.com/zufang/NN2033765833582313472.html,2.1公里,13分钟,12分钟,1.4公里,19分钟
整租·金源CBD现代城 7室3厅 南,22000,青秀区-金湖-金源CBD现代城,7室3厅3卫,509.0,南,https://nn.zu.ke.com/zufang/NN2045707074456780800.html,5.8公里,27分钟,26分钟,5.7公里,76分钟
整租·金科博翠山 4室2厅 南,1600,良庆区-玉洞-金科博翠山,4室2厅2卫,128.0,南,https://nn.zu.ke.com/zufang/NN1976099551894831104.html,13.4公里,38分钟,48分钟,13.0公里,174分钟
整租·天誉花园7组团 2室1厅 南,1100,良庆区-五象文旅-天誉花园7组团,2室1厅1卫,60.0,南,https://nn.zu.ke.com/zufang/NN2060045332909129728.html,15.3公里,44分钟,53分钟,14.2公里,189分钟
整租·颐华居 3室2厅 北,1800,西乡塘区-心圩区-颐华居,3室2厅1卫,89.0,北,https://nn.zu.ke.com/zufang/NN2059194811574910976.html,9.2公里,20分钟,25分钟,7.5公里,100分钟
整租·万科珈蓝 4室2厅 南,1800,良庆区-五象湖-万科珈蓝,4室2厅2卫,143.0,南,https://nn.zu.ke.com/zufang/NN2054517119306956800.html,13.2公里,41分钟,49分钟,11.8公里,158分钟
整租·彰泰郡 3室2厅 南,1200,良庆区-五象湖-彰泰郡,3室2厅2卫,86.0,南,https://nn.zu.ke.com/zufang/NN2041182506220257280.html,17.4公里,45分钟,62分钟,15.9公里,212分钟
整租·锦麟玖玺 3室2厅 南,1500,良庆区-五象湖-锦麟玖玺,3室2厅2卫,112.0,南,https://nn.zu.ke.com/zufang/NN2006683851417452544.html,13.2公里,41分钟,49分钟,11.8公里,158分钟
整租·江悦蓝湾 1室1厅 东南/南,1200,良庆区-五象核心区-江悦蓝湾,1室1厅1卫,69.0,,https://nn.zu.ke.com/zufang/NN2059926062237745152.html,9.3公里,32分钟,40分钟,9.4公里,125分钟
整租·时代茗城 4室2厅 南,2500,兴宁区-东沟岭-时代茗城,4室2厅2卫,128.0,南,https://nn.zu.ke.com/zufang/NN2036341981394763776.html,4.1公里,20分钟,36分钟,3.2公里,42分钟
整租·广西警察学院教职工宿舍 3室1厅 南,1500,青秀区-东葛路-广西警察学院教职工宿舍,3室1厅1卫,70.0,南,https://nn.zu.ke.com/zufang/NN2052647828634730496.html,7.3公里,24分钟,34分钟,4.9公里,65分钟
整租·畅春湖山庄 3室2厅 南,1500,兴宁区-东沟岭-畅春湖山庄,3室2厅2卫,115.0,南,https://nn.zu.ke.com/zufang/NN2053680538077626368.html,12.2公里,31分钟,32分钟,7.5公里,100分钟
整租·中天世纪花园 2室1厅 南,2200,青秀区-东葛路-中天世纪花园,2室1厅1卫,86.0,南,https://nn.zu.ke.com/zufang/NN2050170738605817856.html,6.0公里,24分钟,30分钟,4.6公里,61分钟
整租·彰泰滨江学府 4室2厅 南/北,3000,良庆区-五象核心区-彰泰滨江学府,4室2厅2卫,142.0,,https://nn.zu.ke.com/zufang/NN2039656722406047744.html,9.9公里,34分钟,39分钟,8.0公里,106分钟
整租·云星尚雅名都 3室2厅 南,1600,江南区-经开区-云星尚雅名都,3室2厅2卫,93.0,南,https://nn.zu.ke.com/zufang/NN2053134243491479552.html,6.5公里,20分钟,38分钟,6.3公里,84分钟
